Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-01-21 22:26:59,2024-01-22 20:42:44,UTC-05:00,93,66,71,34.59,96.86,11.6,1671,162,81,2024-01-21 22:26:59,2024-01-22 06:49:40,92,14.4,437,497,209,104,124,60,475,0,90,82
2024-01-20 23:13:05,2024-01-21 22:26:59,UTC-05:00,98,62,79,33.70,97.56,10.9,1656,169,79,2024-01-20 23:13:05,2024-01-21 08:03:15,100,15.3,500,526,394,21,85,26,465,0,95,80
2024-01-19 22:17:45,2024-01-20 23:13:05,UTC-05:00,73,70,47,34.10,96.59,6.8,1584,154,81,2024-01-19 22:17:45,2024-01-20 08:36:21,100,14.9,572,609,378,97,97,37,525,46,93,71
2024-01-18 23:32:13,2024-01-19 22:17:45,UTC-05:00,76,68,50,34.50,96.16,11.8,1721,165,78,2024-01-18 23:32:13,2024-01-19 07:25:11,86,13.9,447,472,308,70,69,25,520,56,96,63
2024-01-18 00:53:52,2024-01-18 23:32:13,UTC-05:00,63,73,42,34.30,96.16,5.2,1392,135,76,2024-01-18 00:53:52,2024-01-18 08:41:06,83,15.6,419,465,218,92,109,46,508,38,90,48
2024-01-16 21:43:01,2024-01-18 00:53:52,UTC-05:00,95,67,60,33.61,96.19,9.1,1825,154,81,2024-01-16 21:43:01,2024-01-17 06:39:25,89,14.2,477,531,307,75,95,54,537,55,91,82
2024-01-15 22:28:08,2024-01-16 21:43:01,UTC-05:00,39,73,29,34.60,97.17,12.5,1787,174,82,2024-01-15 22:28:08,2024-01-16 06:09:34,83,13.7,411,451,231,99,81,40,497,13,91,81
2024-01-14 20:52:19,2024-01-15 22:28:08,UTC-05:00,71,70,45,35.20,96.18,12.8,1945,168,84,2024-01-14 20:52:19,2024-01-15 06:59:52,96,13.8,502,607,273,108,121,105,523,58,83,66
2024-01-13 22:54:57,2024-01-14 20:52:19,UTC-05:00,41,75,33,34.20,96.30,6.8,1411,138,84,2024-01-13 22:54:57,2024-01-14 06:50:48,78,15.4,414,470,226,98,90,56,531,25,88,74
2024-01-12 22:10:13,2024-01-13 22:54:57,UTC-05:00,55,73,40,34.30,96.41,16.3,2053,187,87,2024-01-12 22:10:13,2024-01-13 08:00:55,93,14.3,540,590,307,120,113,50,579,90,91,65
2024-01-11 23:33:55,2024-01-12 22:10:13,UTC-05:00,24,80,28,34.10,95.97,13.9,1884,177,91,2024-01-11 23:33:55,2024-01-12 06:47:57,68,14.8,377,428,143,84,150,51,557,90,88,63
2024-01-11 00:04:09,2024-01-11 23:33:55,UTC-05:00,15,88,22,32.80,96.38,7.9,1553,146,88,2024-01-11 00:04:09,2024-01-11 09:31:49,70,15.6,428,567,169,111,148,139,610,107,76,59
2024-01-10 01:23:26,2024-01-11 00:04:09,UTC-05:00,23,73,31,34.50,96.64,15.8,1953,193,88,2024-01-10 01:23:26,2024-01-10 06:59:53,57,15.6,291,336,182,58,51,45,507,28,86,63
2024-01-08 22:29:42,2024-01-10 01:23:26,UTC-05:00,42,71,40,35.00,95.62,11.7,1968,171,84,2024-01-08 22:29:42,2024-01-09 07:02:34,89,14.8,460,512,300,103,57,52,518,27,89,78
2024-01-07 23:17:05,2024-01-08 22:29:42,UTC-05:00,81,67,59,34.60,96.69,14.1,1911,183,84,2024-01-07 23:17:05,2024-01-08 07:03:19,88,14.1,409,462,255,73,81,53,464,0,89,75
2024-01-06 21:39:16,2024-01-07 23:17:05,UTC-05:00,70,71,53,34.10,95.74,6.0,1594,152,77,2024-01-06 21:39:16,2024-01-07 08:24:48,100,13.8,532,643,252,142,138,111,509,44,83,69
2024-01-05 22:58:33,2024-01-06 21:39:16,UTC-05:00,66,74,52,34.80,96.30,6.3,1422,134,83,2024-01-05 22:58:33,2024-01-06 06:59:41,83,14.2,435,481,197,101,137,46,525,60,90,68
2024-01-05 01:10:13,2024-01-05 22:58:33,UTC-05:00,51,75,49,34.20,96.81,5.7,1370,145,80,2024-01-05 01:10:13,2024-01-05 08:42:02,75,14.7,362,446,193,73,96,84,484,0,82,57
2024-01-03 21:24:16,2024-01-05 01:10:13,UTC-05:00,50,73,45,33.29,96.43,13.0,2018,185,84,2024-01-03 21:24:16,2024-01-04 07:31:49,100,14.3,537,607,277,129,131,70,512,25,90,69
