Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-01-10 01:23:26,2024-01-11 00:04:09,UTC-05:00,2024-01-10 17:07:30,2024-01-10 18:02:59,55,Box Fitness,8.3,242.0,163,128,6,43,48,3,0,false,,,
2024-01-10 01:23:26,2024-01-11 00:04:09,UTC-05:00,2024-01-10 16:28:30,2024-01-10 16:50:59,22,Running,13.1,232.0,193,166,0,3,8,26,63,false,,,
2024-01-08 22:29:42,2024-01-10 01:23:26,UTC-05:00,2024-01-09 16:07:30,2024-01-09 17:49:29,101,Box Fitness,10.5,387.0,171,124,16,47,32,4,0,false,,,
2024-01-07 23:17:05,2024-01-08 22:29:42,UTC-05:00,2024-01-08 16:48:00,2024-01-08 18:41:59,113,Box Fitness,13.0,494.0,183,128,7,55,27,6,5,false,,,
2024-01-03 21:24:16,2024-01-05 01:10:13,UTC-05:00,2024-01-04 17:13:30,2024-01-04 18:17:59,64,Box Fitness,11.6,324.0,185,133,9,36,31,20,4,false,,,
2024-01-03 00:14:21,2024-01-03 21:24:16,UTC-05:00,2024-01-03 17:06:00,2024-01-03 18:16:29,70,Box Fitness,12.4,381.0,185,136,6,37,32,19,6,false,,,
2024-01-01 21:23:16,2024-01-03 00:14:21,UTC-05:00,2024-01-02 17:10:30,2024-01-02 18:41:59,91,Box Fitness,13.2,508.0,190,137,3,26,51,17,3,false,,,
2024-01-01 21:23:16,2024-01-03 00:14:21,UTC-05:00,2024-01-02 16:33:00,2024-01-02 16:58:29,25,Running,9.6,150.0,182,139,9,41,14,14,22,false,,,
2023-12-30 22:30:21,2023-12-31 21:06:24,UTC-05:00,2023-12-31 09:04:30,2023-12-31 09:52:29,47,Box Fitness,9.4,261.0,170,136,3,23,61,13,0,false,,,
2023-12-27 23:00:00,2023-12-28 23:00:43,UTC-05:00,2023-12-28 14:51:00,2023-12-28 15:13:29,22,Walking,4.5,36.0,133,111,51,49,0,0,0,false,,,
2023-12-26 01:16:52,2023-12-27 01:02:34,UTC+03:00,2023-12-26 12:06:00,2023-12-26 12:46:29,40,Activity,6.2,134.0,158,119,20,50,27,0,0,false,,,
2023-12-23 23:45:43,2023-12-25 03:48:25,UTC+03:00,2023-12-24 12:06:00,2023-12-24 12:41:59,35,Hiking/Rucking,6.2,130.0,149,121,9,73,18,0,0,false,,,
2023-12-22 04:25:23,2023-12-23 03:39:46,UTC+03:00,2023-12-22 15:34:30,2023-12-22 15:58:29,23,Box Fitness,10.8,185.0,180,148,8,19,8,47,18,false,,,
2023-12-21 01:52:50,2023-12-22 04:25:23,UTC+03:00,2023-12-21 11:04:30,2023-12-21 12:10:29,65,Weightlifting,9.7,320.0,158,128,2,54,44,0,0,false,,,
2023-12-19 22:51:19,2023-12-21 01:52:50,UTC+03:00,2023-12-20 10:56:29,2023-12-20 11:47:53,51,Running,11.2,280.0,170,131,14,27,19,35,0,false,765.94,33.44,0.14
2023-12-18 22:22:54,2023-12-19 22:51:19,UTC+03:00,2023-12-19 12:52:30,2023-12-19 13:29:59,37,Functional Fitness,9.4,228.0,170,136,0,34,42,24,0,false,,,
2023-12-16 21:35:39,2023-12-18 14:22:54,UTC-05:00,2023-12-18 03:42:00,2023-12-18 04:34:29,52,Activity,9.7,274.0,165,130,5,47,35,13,0,false,,,
2023-12-16 21:35:39,2023-12-18 14:22:54,UTC-05:00,2023-12-17 05:57:00,2023-12-17 06:23:59,26,Activity,4.9,61.0,129,111,44,56,0,0,0,false,,,
2023-12-15 22:38:39,2023-12-16 21:35:39,UTC-05:00,2023-12-16 12:22:15,2023-12-16 13:02:20,40,Running,13.0,257.0,187,137,31,10,5,21,27,true,4679.53,110.03,-1.82
2023-12-13 23:50:01,2023-12-14 21:35:39,UTC-05:00,2023-12-14 10:54:05,2023-12-14 13:53:59,179,Box Fitness,11.0,443.0,166,101,26,11,13,6,0,false,1901.13,182.69,-8.66
2023-12-13 01:00:00,2023-12-13 23:50:01,UTC-05:00,2023-12-13 17:57:32,2023-12-13 19:43:57,106,Box Fitness,10.9,330.0,179,113,32,27,12,7,2,false,6278.86,121.10,19.97
2023-12-11 20:49:51,2023-12-13 01:00:00,UTC-05:00,2023-12-12 18:02:26,2023-12-12 19:25:15,82,Box Fitness,14.0,467.0,188,133,9,29,40,7,13,false,1389.83,70.28,-6.18
2023-12-10 01:06:36,2023-12-10 21:15:56,UTC-05:00,2023-12-10 15:38:19,2023-12-10 16:28:45,50,Running,11.8,295.0,173,136,15,23,11,47,1,true,5441.00,147.93,0.85
2023-12-09 00:10:47,2023-12-10 01:06:36,UTC-05:00,2023-12-09 16:59:56,2023-12-09 18:00:28,60,Running,14.3,483.0,180,150,4,3,18,69,6,true,8696.87,235.61,0.66
2023-12-06 21:56:36,2023-12-07 21:04:15,UTC-05:00,2023-12-07 17:22:27,2023-12-07 18:42:07,79,Box Fitness,12.5,395.0,182,131,12,31,35,15,5,false,,,
2023-12-06 00:25:23,2023-12-06 21:56:36,UTC-05:00,2023-12-06 17:51:00,2023-12-06 19:02:59,71,Functional Fitness,9.3,264.0,170,121,24,39,23,10,0,false,,,
2023-12-04 23:05:55,2023-12-06 00:25:23,UTC-05:00,2023-12-05 16:59:16,2023-12-05 18:12:32,73,Box Fitness,8.9,270.0,170,122,17,51,20,8,0,false,,,
2023-12-02 19:53:07,2023-12-04 00:12:06,UTC-05:00,2023-12-03 16:02:33,2023-12-03 16:36:46,34,Running,11.8,286.0,171,153,0,0,12,88,0,true,5528.54,151.89,-1.05
2023-12-01 00:39:15,2023-12-01 22:43:14,UTC-05:00,2023-12-01 16:18:00,2023-12-01 17:13:29,55,Weightlifting,7.8,221.0,153,126,3,64,33,0,0,false,,,
2023-11-29 00:32:47,2023-11-29 22:17:26,UTC-05:00,2023-11-29 18:59:22,2023-11-29 20:08:04,68,Box Fitness,7.3,205.0,154,114,21,39,25,0,0,false,565.01,16.26,0.91
2023-11-27 22:14:30,2023-11-29 00:32:47,UTC-05:00,2023-11-28 16:59:42,2023-11-28 18:03:32,63,Box Fitness,10.0,229.0,177,118,26,40,6,10,6,false,247.80,3.13,-1.21
2023-11-26 22:28:48,2023-11-27 22:14:30,UTC-05:00,2023-11-27 18:58:10,2023-11-27 20:10:09,71,Box Fitness,9.8,309.0,165,126,13,43,38,5,0,false,4584.70,123.75,23.00
2023-11-25 22:23:55,2023-11-26 22:28:48,UTC-05:00,2023-11-26 16:07:30,2023-11-26 16:41:59,34,Running,8.9,164.0,173,130,17,48,3,30,2,false,,,
2023-11-23 22:31:24,2023-11-24 23:44:38,UTC-05:00,2023-11-24 13:01:30,2023-11-24 13:25:29,23,Weightlifting,5.5,95.0,148,125,2,76,22,0,0,false,,,
